Petya|00:00:12.7152786|1
igen|00:00:18.8458936|2
Unknow4|45|2
Unknow5|45|2
Unknow1|45|3
Unknow2|45|3
Unknow3|45|3
Unknow4|45|3
Unknow5|45|3
Unknow1|45|4
Unknow2|45|4
Unknow3|45|4
Unknow4|45|4
Unknow5|45|4
Unknow1|45|5
Unknow2|45|5
Unknow3|45|5
Unknow4|45|5
Unknow5|45|5
Péter|00:00:39.4638817|00:00:39.4638817
Lilla|00:00:23.7082952|00:00:23.7082952
Attila|00:00:22.1316254|00:00:22.1316254
János|00:00:12.2620846|00:00:12.2620846
Gábor|00:00:11.8124708|00:00:11.8124708
Péter|00:00:11.3298737|00:00:11.3298737
